"from","to"
"PRPF40A","TNIP1"
"POLR1A","TNIP1"
"DDX41","TNIP1"
"CHD4","TNIP1"
"IKBKG","TNIP1"
"KIFC3","TNIP1"
"CENPJ","TNIP1"
"TNIP1","TRAF2"
"RBCK1","TNIP1"
"PSMD14","TNIP1"
"PIBF1","TNIP1"
"SDCCAG3","TNIP1"
"KRT8","TNIP1"
"NFKBIA","TNIP1"
"CHD4","SMARCA4"
"CHD4","MCRS1"
"CHD3","CHD4"
"CHD4","CHD4"
"CHD4","EIF4G1"
"CHD4","ENO1"
"CHD4","EWSR1"
"CHD4","HNRNPA2B1"
"CHD4","KPNA2"
"CHD4","KRT2"
"CHD4","RPL13"
"CHD4","RPS18"
"CHD4","SSRP1"
"CHD4","SUPT5H"
"CHD4","HIST1H2BH"
"CHD4","EIF3A"
"CHD4","PRPF4"
"CHD4","PRPF3"
"CHD4","FXR2"
"CHD4","MYBBP1A"
"CHD4","SF3B2"
"CHD4","SUPT16H"
"CHD4","DDX42"
"CHD4","PHB2"
"ACIN1","CHD4"
"BRD1","CHD4"
"CHD4","DDX41"
"CHD4","WBP11"
"ATAD3A","CHD4"
"CHD4","NAT10"
"CHD4","PRPF40A"
"CHD4","RBM15"
"CHD4","FTSJ3"
"CBX5","CHD4"
"CHD4","THOC1"
"CHD4","MED15"
"CHD4","MCM2"
"AQR","CHD4"
"CHD4","PBRM1"
"CHD4","TSHZ3"
"CHD4","NCAPD2"
"CHD4","DCTN4"
"CHD4","PRKCSH"
"CHD4","TRIM27"
"CHD4","FOXK2"
"CHD4","SUV39H1"
"CHD4","RECQL4"
"CHD4","FBXW7"
"CHD4","SETD1A"
"CHD4","SRC"
"CHD4","PRC1"
"CHAF1A","CHD4"
"CHD4","DAXX"
"CHD4","CSNK2B"
"CHD4","HMGA1"
"CHD4","CUL3"
"CHD4","SMARCB1"
"BAP1","CHD4"
"CHD4","HIST1H3C"
"CHD4","STIP1"
"CHD4","TNIP1"
"AURKA","FBXW7"
"FBXW7","FBXW7"
"FBXW7","GSK3B"
"AURKB","FBXW7"
"FBXW7","MED15"
"CDK2","FBXW7"
"BUB1B","FBXW7"
"FBXW7","SSRP1"
"ENO1","FBXW7"
"FBXW7","USP9X"
"FBXW7","MCM7"
"CHD4","FBXW7"
"FBXW7","PRMT1"
"EIF4G1","FBXW7"
"FBXW7","SMARCA4"
"FBXW7","POU5F1"
"FBXW7","ZFP36"
"AKT1","FBXW7"
"FBXW7","STAT5A"
"FBXW7","NOTCH2"
"CAD","FBXW7"
"FBXW7","TUFM"
"FBXW7","SUPT16H"
"FBXW7","SF3B2"
"FBXW7","IGF2BP3"
"AARS","FBXW7"
"FBXW7","YWHAE"
"FBXW7","RPS18"
