"from","to"
"SRGAP2","YWHAH"
"MICALL1","YWHAH"
"FOXO1","YWHAH"
"SFN","YWHAH"
"SASH1","YWHAH"
"CENPJ","YWHAH"
"SAMD4B","YWHAH"
"PAK4","YWHAH"
"POLA2","YWHAH"
"UNC45A","YWHAH"
"PFDN2","YWHAH"
"CDK9","YWHAH"
"BRCC3","YWHAH"
"CCDC85C","YWHAH"
"DNMT1","YWHAH"
"EIF4E2","YWHAH"
"IVNS1ABP","YWHAH"
"KDM5B","YWHAH"
"LPIN3","YWHAH"
"OPTN","YWHAH"
"PUM1","YWHAH"
"SNX2","YWHAH"
"SYDE1","YWHAH"
"DNAJB1","YWHAH"
"PSMD7","YWHAH"
"SHKBP1","YWHAH"
"AKAP8","YWHAH"
"ANKRD17","YWHAH"
"ANLN","YWHAH"
"ARHGAP19","YWHAH"
"CDK14","YWHAH"
"DDX3X","YWHAH"
"KIAA0355","YWHAH"
"NCKIPSD","YWHAH"
"NCOA6","YWHAH"
"NUP62","YWHAH"
"PLEKHA1","YWHAH"
"RAB11FIP1","YWHAH"
"SBF1","YWHAH"
"SPAST","YWHAH"
"YTHDF2","YWHAH"
"YWHAH","ZNF146"
"ROR2","YWHAH"
"PJA2","YWHAH"
"LMTK2","YWHAH"
"MAP4K4","YWHAH"
"AKAP11","YWHAH"
"ASS1","YWHAH"
"CEP192","YWHAH"
"DST","YWHAH"
"EHBP1","YWHAH"
"FAM171A2","YWHAH"
"FMN2","YWHAH"
"GEN1","YWHAH"
"IFT74","YWHAH"
"LIMCH1","YWHAH"
"MAPT","YWHAH"
"MPDZ","YWHAH"
"NCKAP5L","YWHAH"
"PVRL2","YWHAH"
"OSBPL8","YWHAH"
"PALLD","YWHAH"
"PIBF1","YWHAH"
"RAB11FIP5","YWHAH"
"RPL27","YWHAH"
"SERPINH1","YWHAH"
"SH3GL1","YWHAH"
"SIPA1L3","YWHAH"
"SLC25A1","YWHAH"
"SLC38A2","YWHAH"
"SMAP2","YWHAH"
"SSFA2","YWHAH"
"SYNE2","YWHAH"
"TJP1","YWHAH"
"ARFGAP2","YWHAH"
"CDC42EP4","YWHAH"
"EPB41L1","YWHAH"
"LIMD1","YWHAH"
"MADD","YWHAH"
"TEX2","YWHAH"
"VCP","YWHAH"
"FN1","YWHAH"
"TRIM32","YWHAH"
"G6PD","YWHAH"
"SNRPD2","YWHAH"
"TBCB","YWHAH"
"VCL","YWHAH"
"TMEM17","YWHAH"
"CRY1","YWHAH"
"PTPN4","YWHAH"
"DLD","YWHAH"
"GPC1","YWHAH"
"CSK","YWHAH"
"ALDH1B1","YWHAH"
"P2RY6","YWHAH"
"PLEKHA4","YWHAH"
"PRKD1","YWHAH"
"CDC42","YWHAH"
"NINL","YWHAH"
"LAMP1","YWHAH"
"WDR37","YWHAH"
"TRAPPC10","YWHAH"
"ERRFI1","YWHAH"
"ARHGEF7","YWHAH"
"HOMEZ","YWHAH"
"CBY1","YWHAH"
"ACTR2","YWHAH"
"ARL8B","YWHAH"
"KRAS","YWHAH"
"RRAS2","YWHAH"
"VAPB","YWHAH"
"BAG1","YWHAH"
"TRIM5","YWHAH"
"HMGB1","YWHAH"
"BASP1","YWHAH"
"NUAK1","YWHAH"
"CAMK2G","YWHAH"
"PAK6","YWHAH"
"IKBKE","YWHAH"
"SPOP","YWHAH"
"PCNT","YWHAH"
"RPA2","YWHAH"
"RPA3","YWHAH"
"SAMD4B","YWHAQ"
"PNKP","YWHAQ"
"TJP2","YWHAQ"
"PAK4","YWHAQ"
"RAI14","YWHAQ"
"LUC7L2","YWHAQ"
"PAK6","YWHAQ"
"RPL21","YWHAQ"
"CCAR1","YWHAQ"
"AR","YWHAQ"
"NCOA3","YWHAQ"
"PRKD1","YWHAQ"
"ING1","YWHAQ"
"RALY","YWHAQ"
"HIST1H1C","YWHAQ"
"YWHAG","YWHAQ"
"YWHAH","YWHAQ"
"DES","YWHAQ"
"ACTA2","YWHAQ"
