"from","to"
"RNF43","RNF43"
"EPHA2","RNF43"
"MKI67","RNF43"
"PDIA3","RNF43"
"RNF43","UBE2O"
"C1QBP","RNF43"
"RNF43","TUBA1B"
"HSP90AA1","HSP90AA1"
"HSP90AA1","LRRK2"
"DYNC1H1","HSP90AA1"
"HSP90AA1","PRKDC"
"ACTG1","HSP90AA1"
"FBXW5","HSP90AA1"
"EPHA2","HSP90AA1"
"HSP90AA1","HSPE1"
"HSP90AA1","IKZF1"
"HSP90AA1","YWHAH"
"HSP90AA1","RBBP4"
"FBXO7","HSP90AA1"
"HSP90AA1","MAD2L2"
"HSP90AA1","NAA40"
"HSP90AA1","SRSF10"
"HSP90AA1","RICTOR"
"IKZF1","RBBP4"
"IKZF1","SMARCA4"
"IKZF1","IKZF1"
"IKZF1","MAD2L2"
"HSP90AA1","IKZF1"
"IKZF1","PARP1"
"IKZF1","SNRPB"
"ACTG1","IKZF1"
"IKZF1","MKI67"
"HIST1H1E","IKZF1"
"IKZF1","RNF4"
"SH3KBP1","UBC"
"MKI67","UBC"
"RBBP4","UBC"
"CCT3","UBC"
"SRSF1","UBC"
"NOP56","UBC"
"FBXO7","UBC"
"C1QBP","UBC"
"OPTN","UBC"
"DHX15","UBC"
"UBC","UBC"
"UBC","UBE2O"
"UBC","UBE3A"
"UBC","XRCC5"
"HIST1H1E","UBC"
"CDC20","UBC"
"SRP9","UBC"
"RHOG","UBC"
"SRSF7","UBC"
"SUZ12","UBC"
"NEDD4","UBC"
"RNF4","UBC"
"FBP1","UBC"
"UBB","UBC"
"HSPE1","MKI67"
"MKI67","SUZ12"
"MKI67","NOP58"
"GNL3","MKI67"
"MKI67","RACGAP1"
"MKI67","UBC"
"MKI67","NOP56"
"MKI67","RNF4"
"KIF20A","MKI67"
"MKI67","NUPR1"
"MKI67","NAA40"
"MKI67","OPTN"
"MKI67","RNF43"
"CDC20","MKI67"
"MKI67","PARP1"
"IKZF1","MKI67"
"MKI67","RPA4"
"SH3KBP1","SH3KBP1"
"RACGAP1","SH3KBP1"
"SH3KBP1","SRSF7"
"SH3KBP1","UBC"
"SH3KBP1","SRSF1"
"SH3KBP1","SRSF10"
"CENPA","PARP1"
"PARP1","PRKDC"
"PARP1","XRCC5"
"PARP1","PARP1"
"NOP56","PARP1"
"NOP58","PARP1"
"PARP1","RACGAP1"
"PARP1","SUZ12"
"GNL3","PARP1"
"MSH6","PARP1"
"PARP1","SMARCA4"
"PARP1","RNF4"
"MKI67","PARP1"
"KIF20A","PARP1"
"PARP1","SNRPB"
"PARP1","SRSF2"
"PARP1","RPA4"
"NUPR1","PARP1"
"FBP1","PARP1"
"NAA40","PARP1"
"IKZF1","PARP1"
"PARP1","UBE2O"
"PARP1","SRSF10"
"PARP1","RICTOR"
"NDC80","NDC80"
"MED4","NDC80"
"NDC80","RNF4"
"OPTN","YWHAH"
"OPTN","UBC"
"OPTN","OPTN"
"OPTN","UBB"
"DCAF4","OPTN"
"HSPE1","OPTN"
"OPTN","SRP9"
"OPTN","TUBA1B"
"DYNC1H1","OPTN"
"OPTN","XRCC5"
"NOP56","OPTN"
"MKI67","OPTN"
"NAA40","OPTN"
"ACTG1","OPTN"
"EPHA2","EPHA2"
"EPHA2","HSP90AA1"
"EPHA2","TUBA1B"
"EPHA2","RICTOR"
"EPHA2","PDIA3"
"EPHA2","LAMP1"
"EPHA2","NUPR1"
"EPHA2","RHOG"
"EPHA2","RHOD"
"EPHA2","RHOU"
"EPHA2","RHOH"
"EPHA2","RNF43"
"CDC20","CDC20"
"CDC20","FBXW5"
"CCT3","CDC20"
"CDC20","UBB"
"CDC20","UBC"
"CDC20","MKI67"
"CDC20","MAD2L2"
"CDC20","RNF4"
"CDC20","RIT1"
"CDC20","YWHAH"
"CDC20","UBE2O"
"RBBP4","SUZ12"
"SUZ12","SUZ12"
"ACTG1","SUZ12"
"SRSF1","SUZ12"
"SUZ12","UBB"
"SRSF10","SUZ12"
"DYNC1H1","SUZ12"
"NOP58","SUZ12"
"SUZ12","XRCC5"
"C1QBP","SUZ12"
"SRSF7","SUZ12"
"CCT3","SUZ12"
"PDIA3","SUZ12"
"SMARCA4","SUZ12"
"CHAF1A","SUZ12"
"MKI67","SUZ12"
"PARP1","SUZ12"
"SUZ12","ZBTB2"
"SUZ12","UBE2O"
"SUZ12","UBC"
"GNL3","RIT1"
"RIT1","SMARCA4"
"MAD2L2","RIT1"
"RIT1","RIT1"
"CDC20","RIT1"
"DHX15","RIT1"
"CCT3","RIT1"
"HSPE1","RIT1"
"MED4","RIT1"
"NOP56","RIT1"
"NOP58","RIT1"
"RACGAP1","RIT1"
"RBBP4","RIT1"
"RIT1","RPL37A"
"RIT1","SRP9"
"RIT1","SRSF1"
"RIT1","SRSF2"
"RIT1","SRSF7"
"RIT1","TUBA1B"
"RIT1","XRCC5"
"LRRK2","RIT1"
"SRSF1","SRSF10"
"CCT3","SRSF10"
"PRKDC","SRSF10"
"HSP90AA1","SRSF10"
"PARP1","SRSF10"
"DHX15","SRSF10"
"SRSF10","SUZ12"
"FBXO7","SRSF10"
"KIF20A","SRSF10"
"NUPR1","SRSF10"
"SRSF10","ZBTB2"
"SRSF10","YWHAH"
"SRSF10","SRSF7"
"SH3KBP1","SRSF10"
"HIST1H1E","SRSF10"
"DCAF4","SRSF10"
"CCT3","TUBA1B"
"CCT3","UBC"
"CCT3","CDC20"
"CCT3","SUZ12"
"CCT3","HSPE1"
"CCT3","DCAF4"
"CCT3","NAA40"
"CCT3","FBXW5"
"CCT3","RIT1"
"ACTG1","CCT3"
"CCT3","SRSF10"
"CCT3","RICTOR"
"UBB","UBE3A"
"UBB","UBB"
"NEDD4","UBB"
"SRSF1","UBB"
"UBB","UBC"
"CDC20","UBB"
"SUZ12","UBB"
"FBXO7","UBB"
"OPTN","UBB"
"RHOU","UBB"
"HIST1H1E","UBB"
"PRKDC","PRKDC"
"PRKDC","XRCC5"
"PRKDC","SRSF10"
"PRKDC","SRSF2"
"PRKDC","SRSF1"
"DYNC1H1","PRKDC"
"PARP1","PRKDC"
"CHAF1A","PRKDC"
"CENPA","PRKDC"
"MSH6","PRKDC"
"LRRK2","PRKDC"
"HSP90AA1","PRKDC"
"PRKDC","RNF4"
"KIF20A","PRKDC"
"NUPR1","PRKDC"
"FBP1","PRKDC"
"NAA40","PRKDC"
"OPALIN","PRKDC"
"PRKDC","UBE2O"
"PRKDC","RICTOR"
"PRKDC","XRCC5"
"PARP1","XRCC5"
"CHAF1A","XRCC5"
"XRCC5","XRCC5"
"C1QBP","XRCC5"
"CENPA","XRCC5"
"MSH6","XRCC5"
"DYNC1H1","XRCC5"
"SUZ12","XRCC5"
"UBC","XRCC5"
"RNF4","XRCC5"
"KIF20A","XRCC5"
"NUPR1","XRCC5"
"FBP1","XRCC5"
"NAA40","XRCC5"
"OPTN","XRCC5"
"RIT1","XRCC5"
"CHAF1A","CHAF1A"
"CHAF1A","PRKDC"
"CHAF1A","XRCC5"
"CHAF1A","RBBP4"
"CHAF1A","MSH6"
"CHAF1A","SUZ12"
"CHAF1A","MAD2L2"
"CENPA","CHAF1A"
"CHAF1A","SMARCA4"
"CHAF1A","MSH6"
"MSH6","XRCC5"
"MSH6","PRKDC"
"MSH6","SRSF1"
"LRRC59","MSH6"
"CENPA","MSH6"
"MSH6","NAA40"
"MSH6","ZBTB2"
"MSH6","PARP1"
"NOP56","NOP58"
"GNL3","NOP56"
"NOP56","RPL37A"
"DHX15","NOP56"
"NOP56","SMARCA4"
"MKI67","NOP56"
"NOP56","PDIA3"
"HIST1H1E","NOP56"
"NOP56","UBC"
"MED4","NOP56"
"MAD2L2","NOP56"
"KIF20A","NOP56"
"C1QBP","NOP56"
"LRRC59","NOP56"
"NOP56","NUPR1"
"NOP56","RNF4"
"CENPA","NOP56"
