"from","to"
"ATP2A1","DPF2"
"ATP2A1","SMC5"
"DNMT1","DNMT3B"
"DNMT1","DNMT1"
"COPS2","DNMT1"
"DNMT1","SUZ12"
"DNMT1","RIT1"
"DNMT1","SMC5"
"BAG1","RB1"
"DNMT1","RB1"
"RB1","SNW1"
"CDK6","RB1"
"CHEK2","RB1"
"CHERP","SNIP1"
"CHERP","RBFOX2"
"CHERP","SRPK2"
"CHERP","SNW1"
"CHERP","RIT1"
"CHERP","DHX9"
"CHERP","DHX15"
"CHERP","SMC5"
"MBNL1","MYO1B"
"DBN1","MYO1B"
"IFITM1","MYO1B"
"CAPZB","MYO1B"
"MYO1B","SRPK2"
"CHEK2","MYO1B"
"MYO1B","STYK1"
"DDX24","MYO1B"
"ABCF1","DHX9"
"ABCF1","NUPR1"
"ABCF1","RIT1"
"RBM34","RBM4"
"RBM34","SRPK2"
"RBM34","SUZ12"
"ILF3","RBM34"
"MAP4K4","RBM34"
"ADARB1","RBM34"
"RBM34","TLX2"
"ADCK3","RBM34"
"PPP2CA","PPP2R2A"
"ILF3","RCN2"
"ANKRD28","RCN2"
"PRKCZ","RCN2"
"COPS2","TROVE2"
"DHX9","TROVE2"
"ILF3","TROVE2"
"COPS3","TROVE2"
"H2AFY","TROVE2"
"PRKCZ","PRKCZ"
"PPP2CA","PRKCZ"
"IRAK1","PRKCZ"
"RTN4","RTN4"
"ILF3","RTN4"
"ATP2A1","RTN4"
"NUP155","RTN4"
"RAB3B","RTN4"
"RAB4A","RTN4"
"IFITM1","RTN4"
"ACIN1","PTCD3"
"PTCD3","SUZ12"
"PTCD3","ZBTB2"
"PTCD3","TLX2"
"PTCD3","RIT1"
"PTCD3","SRPK2"
"ADCK3","PTCD3"
"MACF1","SRPK2"
"MACF1","NUPR1"
"MACF1","VCL"
"ITGA4","KRT1"
"DDX24","KRT1"
"ATP2A1","DPF2"
"COPS3","DPF2"
"DPF2","PPP2CA"
"DDIT3","DPF2"
"DPF2","H2AFY"
"DPF2","HNF1B"
"DPF2","TLX2"
"CEBPZ","ILF3"
"CEBPZ","ZBTB2"
"CEBPZ","SRPK2"
"ADARB1","CEBPZ"
"CEBPZ","RIT1"
"CEBPZ","CRYAA"
"CEBPZ","NUP43"
"CEBPZ","SMC5"
"GBF1","VCL"
"CDK6","GBF1"
"GBF1","SRPK2"
"GBF1","RAB3B"
"GBF1","GPR182"
"GBF1","RHOF"
"BAG1","GBF1"
"ATP2A1","LSG1"
"LSG1","NUP155"
"LSG1","NRP1"
"VCL","VCL"
"CAPZB","VCL"
"GBF1","VCL"
"ITGA4","VCL"
"RNF149","VCL"
"LEMD3","NRAS"
"ATP2A1","LEMD3"
"LEMD3","NUP155"
"LEMD3","RAB3B"
"LEMD3","RAB4A"
"LEMD3","RHOF"
"ILF3","LEMD3"
"LEMD3","STYK1"
"LEMD3","SMC5"
"SIN3A","SMARCA2"
"RAN","SMARCA2"
"DPF2","SMARCA2"
"ADCK3","SMARCA2"
"SMARCA2","SUZ12"
"DDIT3","SMARCA2"
"HNF1B","SMARCA2"
"SMARCA2","SNIP1"
"COPS2","SIN3A"
"COPS2","COPS3"
"COPS2","COPS2"
"ACIN1","COPS2"
"COPS2","DNMT1"
"COPS2","TCEB2"
