"from","to"
"MKI67","SUZ12"
"PARP1","SUZ12"
"SUZ12","ZBTB2"
"SUZ12","UBE2O"
"SUZ12","UBC"
"GNL3","RIT1"
"RIT1","SMARCA4"
"RIT1","RIT1"
"CDC20","RIT1"
"CCT3","RIT1"
"NOP56","RIT1"
"NOP58","RIT1"
"RACGAP1","RIT1"
"RIT1","SRSF1"
"RIT1","TUBA1B"
"RIT1","XRCC5"
"LRRK2","RIT1"
"SRSF1","SRSF10"
"CCT3","SRSF10"
"PRKDC","SRSF10"
"HSP90AA1","SRSF10"
"PARP1","SRSF10"
"SRSF10","SUZ12"
"FBXO7","SRSF10"
"KIF20A","SRSF10"
"SRSF10","ZBTB2"
"SRSF10","YWHAH"
"SH3KBP1","SRSF10"
"CCT3","TUBA1B"
"CCT3","UBC"
"CCT3","CDC20"
"CCT3","SUZ12"
"CCT3","NAA40"
"CCT3","FBXW5"
"CCT3","RIT1"
"CCT3","SRSF10"
"CCT3","RICTOR"
"UBB","UBE3A"
"UBB","UBB"
"NEDD4","UBB"
"SRSF1","UBB"
"UBB","UBC"
"CDC20","UBB"
"SUZ12","UBB"
"FBXO7","UBB"
"OPTN","UBB"
"PRKDC","PRKDC"
"PRKDC","XRCC5"
"PRKDC","SRSF10"
"PRKDC","SRSF1"
"DYNC1H1","PRKDC"
"PARP1","PRKDC"
"CHAF1A","PRKDC"
"MSH6","PRKDC"
"LRRK2","PRKDC"
"HSP90AA1","PRKDC"
"KIF20A","PRKDC"
"NAA40","PRKDC"
"PRKDC","UBE2O"
"PRKDC","RICTOR"
"PRKDC","XRCC5"
"PARP1","XRCC5"
"CHAF1A","XRCC5"
"XRCC5","XRCC5"
"MSH6","XRCC5"
"DYNC1H1","XRCC5"
"SUZ12","XRCC5"
"UBC","XRCC5"
"KIF20A","XRCC5"
"NAA40","XRCC5"
"OPTN","XRCC5"
"RIT1","XRCC5"
"CHAF1A","CHAF1A"
"CHAF1A","PRKDC"
"CHAF1A","XRCC5"
"CHAF1A","MSH6"
"CHAF1A","SUZ12"
"CHAF1A","SMARCA4"
"CHAF1A","MSH6"
"MSH6","XRCC5"
"MSH6","PRKDC"
"MSH6","SRSF1"
"MSH6","NAA40"
"MSH6","ZBTB2"
"MSH6","PARP1"
"NOP56","NOP58"
"GNL3","NOP56"
"NOP56","SMARCA4"
"MKI67","NOP56"
"NOP56","UBC"
"KIF20A","NOP56"
"NOP56","PARP1"
"NAA40","NOP56"
"NOP56","ZBTB2"
"NOP56","OPTN"
"NOP56","RIT1"
"NOP58","NOP58"
"NOP56","NOP58"
"GNL3","NOP58"
"NOP58","SUZ12"
"NOP58","UBE3A"
"KIF20A","NOP58"
"MKI67","NOP58"
"NOP58","PARP1"
"NOP58","ZBTB2"
"NOP58","RIT1"
"NOP58","UBE2O"
"SMARCA4","SMARCA4"
"CHAF1A","SMARCA4"
"SMARCA4","SUZ12"
"IKZF1","SMARCA4"
"NOP56","SMARCA4"
"KIF20A","SMARCA4"
"NAA40","SMARCA4"
"RIT1","SMARCA4"
"PARP1","SMARCA4"
"FBXO7","FBXO7"
"FBXO7","UBB"
"DYNC1H1","FBXO7"
"FBXO7","HSP90AA1"
"FBXO7","GNL3"
"FBXO7","SRSF10"
"FBXO7","UBC"
"GNL3","NOP56"
"GNL3","NOP58"
"FBXO7","GNL3"
"GNL3","KIF20A"
"GNL3","MKI67"
"GNL3","PARP1"
"GNL3","NAA40"
"GNL3","ZBTB2"
"GNL3","RIT1"
"GNL3","UBE2O"
"SRSF1","SRSF1"
"SRSF1","SRSF10"
"SRSF1","YWHAH"
"DYNC1H1","SRSF1"
"SRSF1","UBC"
"SRSF1","SUZ12"
"KIF20A","SRSF1"
"SRSF1","UBB"
"SH3KBP1","SRSF1"
"RIT1","SRSF1"
"MSH6","SRSF1"
"PRKDC","SRSF1"
"RICTOR","SRSF1"
"DYNC1H1","XRCC5"
"DYNC1H1","DYNC1H1"
"DYNC1H1","HSP90AA1"
"DYNC1H1","LRRK2"
"DYNC1H1","SUZ12"
