"from","to"
"NRP1","RAB3B"
"IKZF1","SIN3A"
"IKZF1","ILF3"
"ACIN1","IKZF1"
"DHX9","IKZF1"
"PUM1","YTHDF3"
"ITGA4","PUM1"
"PUM1","RBFOX2"
"PUM1","SMC5"
"ATP2B1","NRAS"
"ATP2A1","ATP2B1"
"ATP2B1","RAB3B"
"ATP2B1","RAB4A"
"ATP2B1","GBF1"
"DDX20","DHX9"
"DDX20","RIT1"
"RBFOX2","YTHDF3"
"NRP1","YTHDF3"
"IFITM1","YTHDF3"
"SMC5","YTHDF3"
"NUPR1","POLR1A"
"NRP1","POLR1A"
"POLR1A","RIT1"
"DLG5","GBF1"
"DLG5","NRP1"
"DLG5","RIT1"
"DLG5","STYK1"
"GOLGB1","GOLGB1"
"GOLGB1","NRAS"
"GOLGB1","NUP155"
"GOLGB1","RAB3B"
"GOLGB1","RAB4A"
"GOLGB1","NRP1"
"GOLGB1","IFITM1"
"NUPR1","YLPM1"
"ILF3","YLPM1"
"TSG101","YLPM1"
"SMC5","YLPM1"
"CDK12","MAP4K4"
"ADARB1","CDK12"
"CDK12","RIT1"
"CDK12","NUP43"
"CDK12","SMC5"
"HERC5","ILF3"
"ILF3","TOMM22"
"NRP1","TOMM22"
"IFITM1","TOMM22"
"RIT1","TOMM22"
"DHX9","LRRFIP1"
"DBN1","LRRFIP1"
"LRRFIP1","NUPR1"
"H2AFY","LRRFIP1"
"LRRFIP1","TSG101"
"ALK","LEMD3"
"ALK","NUP155"
"ALK","NRP1"
"ALK","MAP4K4"
"ALK","SMC5"
"DDX24","KRT14"
"IRAK1","PRKCZ"
"IRAK1","IRAK1"
"IRAK1","PPP2CA"
"IRAK1","NUP155"
"IFITM1","IFITM1"
"IFITM1","YTHDF3"
"IFITM1","RTN4"
"GOLGB1","IFITM1"
"IFITM1","TSG101"
"ATP6V1A","VCL"
"ATP6V1A","DBN1"
"ATP6V1A","NUPR1"
"ATP6V1A","IFITM1"
"ATP6V1A","RIT1"
"ATP6V1A","RNF149"
"RBFOX2","RBFOX2"
"MBNL1","RBFOX2"
"CHERP","RBFOX2"
"RBFOX2","YTHDF3"
"ADARB1","RBFOX2"
