"from","to"
"MORF4L1","RACGAP1"
"IKZF1","MORF4L1"
"MORF4L1","TUBA1B"
"PARP1","RAB3GAP2"
"RAB3GAP2","SMARCA4"
"MSH6","RAB3GAP2"
"RAB3GAP2","YWHAH"
"RAB3GAP2","RICTOR"
"RAB3GAP2","UBC"
"KIF4A","PARP1"
"KIF4A","NAA40"
"LTN1","UBC"
"DDX28","SH3KBP1"
"DDX28","KIF20A"
"DDX28","UBC"
"PRKDC","THOC6"
"SRSF10","THOC6"
"SUZ12","THOC6"
"PARP1","THOC6"
"AP1M1","IKZF1"
"AP1M1","UBC"
"UBC","ZUFSP"
"MSH6","ZUFSP"
"RICTOR","ZUFSP"
"DYNC1H1","ZUFSP"
"UBB","UBE3A"
"UBB","UBB"
"NEDD4","UBB"
"SRSF1","UBB"
"UBB","UBC"
"CDC20","UBB"
"SUZ12","UBB"
"FBXO7","UBB"
"OPTN","UBB"
"FBXW5","NEFM"
"KIF20A","NEFM"
"FBXO7","MRPS14"
"MKI67","MRPS14"
"MRPS14","SRSF1"
"MRPS14","RIT1"
"MRPS14","UBE2O"
"CUX1","LAMP1"
"CUX1","PARP1"
"CUX1","RICTOR"
"NEDD4","SUN2"
"SUN2","SUZ12"
"SRSF10","SUN2"
"NEDD4","SMAD1"
"SMAD1","UBC"
"MKI67","RNGTT"
"RIT1","RNGTT"
"FBXO7","TOMM20"
"TOMM20","UBC"
"SRSF1","TOMM20"
"OPTN","TOMM20"
"RIT1","TOMM20"
"TOMM20","UBE2O"
"KAT2B","PARP1"
"CYB5R3","UBC"
"CYB5R3","NAA40"
"MKI67","TOX4"
"NAA40","TOX4"
"MYCBP2","PARP1"
"MYCBP2","UBC"
"MYCBP2","UBE3A"
"MYCBP2","YWHAH"
"RACGAP1","STON2"
"STON2","UBE2O"
"STON2","UBC"
"CCT3","WDTC1"
"FBXW5","WDTC1"
"IKZF1","WDTC1"
"PDE12","UBC"
"FBXO7","PDE12"
"PAK7","YWHAH"
"CEP63","NOP56"
"CEP63","NOP58"
"CEP63","NDC80"
"KIF20A","SAP130"
"CHAF1A","SAP130"
"FGF13","UBE2O"
"FBXO7","FGF13"
"ASS1","OPTN"
"ASS1","YWHAH"
"EPHA2","TMEM17"
"TMEM17","YWHAH"
"CCT3","RFWD2"
"RFWD2","UBC"
"NDC80","RFWD2"
"DDR1","HSP90AA1"
"DDR1","EPHA2"
"PARP1","TTC37"
"UBC","UBXN7"
"UBE3A","UBXN7"
"PARP1","UBXN7"
"NDC80","SPAG5"
"NAA40","SPAG5"
"DHX33","NOP56"
"DHX33","PARP1"
"DHX33","RIT1"
"IMP3","MKI67"
"IMP3","SRSF1"
"IMP3","RIT1"
"CDC20","FBXW5"
"CCT3","FBXW5"
"FBXW5","RICTOR"
"FBXW5","HSP90AA1"
"PPP6R2","PRKDC"
"NAA40","PPP6R2"
"ASPM","UBE3A"
"ASPM","TUBA1B"
"ASPM","NDC80"
"NDC80","SPC25"
"RIT1","SPC25"
"POLR3B","RIT1"
"MKI67","POLR3B"
"POLR3B","PRKDC"
"CCT3","RFWD3"
"HSP90AA1","RFWD3"
"RFWD3","UBC"
"CXXC1","HSP90AA1"
"CXXC1","MKI67"
"RACGAP1","RSRC1"
"GNL3","RSRC1"
"MAST3","PARP1"
"MAST3","XRCC5"
"MAST3","YWHAH"
"MCM10","NOP56"
"EFHD2","LRRK2"
"HAUS5","KIF20A"
"HAUS5","MKI67"
"HAUS5","NDC80"
"HAUS5","RIT1"
"FMNL1","PARP1"
"FMNL1","XRCC5"
"KIF15","MKI67"
"KIF15","NDC80"
"PRSS3","SRSF1"
"PRSS3","UBB"
"PRSS3","TUBA1B"
"DNM3","LAMP1"
"DNM3","MKI67"
"DNM3","ZBTB2"
"HERC1","UBC"
"HERC1","KIF20A"
"HERC1","NDC80"
"HERC1","YWHAH"
"FBXW5","HERC1"
"FAM90A1","LRRK2"
"GINS1","RIT1"
"INTS9","RIT1"
"CEP78","IKZF1"
"CEP78","UBC"
"CC2D1A","NAA40"
"CC2D1A","YWHAH"
"PRKDC","TTI1"
"DYNC1H1","PLXNB2"
"EPHA2","PLXNB2"
"SRSF1","ZNF48"
"DSTN","UBE3A"
"MRPL10","RIT1"
"MRPL10","UBC"
"HMGN4","XRCC5"
"HMGN4","PARP1"
"KCTD17","OPTN"
"CDC20","CDT1"
"LAMP1","VPS45"
"CGNL1","YWHAH"
"CGNL1","NAA40"
"CGNL1","PARP1"
"CGNL1","HSP90AA1"
"CSRP1","SUZ12"
"NAA40","ZNF280C"
"ZBTB2","ZNF280C"
"AFTPH","UBE3A"
"AFTPH","NAA40"
"AFTPH","TUBA1B"
"AFTPH","YWHAH"
"HSP90AA1","SLC9A1"
"SLC9A1","UBC"
"NEDD4","SLC9A1"
"FBXW5","VPS13C"
"KIF20A","PABPC1L"
"NEDD4","RAD51AP1"
"LRRK2","RAD51AP1"
"PARP1","RAD51AP1"
"HSP90AA1","IRF1"
"IRF1","UBE3A"
"IRF1","SMARCA4"
"ARHGEF17","YWHAH"
"ITM2B","LAMP1"
"MKI67","RPS6KA6"
"HSP90AA1","RPS6KA6"
"AGAP3","UBE2O"
"AGAP3","RACGAP1"
"AGAP3","LAMP1"
"AGAP3","YWHAH"
"WNK3","YWHAH"
"GINS4","RIT1"
"TSPYL5","TUBA1B"
"PIK3C2B","UBC"
"PIK3C2B","YWHAH"
"EPHA2","PIK3C2B"
"EXO1","YWHAH"
"EXO1","MSH6"
"HSP90AA1","TTR"
"TMEM132A","UBC"
"UNC119","YWHAH"
"FAM135A","LAMP1"
"FAM135A","TUBA1B"
"FAM135A","RNF43"
"EPHA2","FAM135A"
"ORC6","XRCC5"
"ASAP2","SH3KBP1"
"ASAP2","PARP1"
"CHAF1A","CNOT6L"
"ARL6IP5","YWHAH"
"EPHA2","NUDT9"
"NUDT9","UBC"
"RNF10","UBE2O"
"HSP90AA1","RNF10"
"RNF10","YWHAH"
"HTRA4","TUBA1B"
"PTPN6","SRSF1"
"MEX3D","YWHAH"
"SYT2","UBE2O"
"DYNC1H1","NUDCD1"
"NUDCD1","UBC"
"CHAF1A","RPS19BP1"
"FBXO7","RPS19BP1"
"MANF","ZBTB2"
"MANF","UBE2O"
"RICTOR","SLITRK5"
"NFATC2IP","PARP1"
"ADAMTSL4","FBXW5"
"ADAMTSL4","KIF20A"
"CENPK","RIT1"
"PPIP5K2","YWHAH"
"CPNE8","LAMP1"
"LRRCC1","NDC80"
"TAPBP","UBC"
"FBLN7","KIF20A"
"HOPX","HSP90AA1"
"SNUPN","XRCC5"
"CDC20","KIF18A"
"KIF18A","MKI67"
"ATP13A3","LAMP1"
"GBP2","HSP90AA1"
"FBXO7","GBP2"
"APOBEC3B","MKI67"
"CTCFL","KIF20A"
"HSP90AA1","SPG11"
"DYNC1H1","PCBP4"
"PPCDC","RIT1"
"HSP90AA1","PI4K2A"
"LAMP1","PI4K2A"
"DLX6","HSP90AA1"
"ALDH1L1","HSP90AA1"
"UBC","UBXN2B"
"HSP90AA1","PI4K2B"
"CCT3","PI4K2B"
"FBXW5","PI4K2B"
"DPYSL4","NAA40"
"DENND2A","SH3KBP1"
"NR2C2AP","RIT1"
"KIF20A","SAMD9L"
"CCT3","TRIM68"
"HSP90AA1","SIM1"
"OPTN","TIFA"
"LAMP1","TIFA"
"TIFA","UBC"
"FAM170A","NDC80"
"SPRYD3","YWHAH"
"CCNY","YWHAH"
"CCNY","EPHA2"
"HERC6","HSP90AA1"
"RIMS2","YWHAH"
"CCT3","RPE65"
"FAM3A","UBC"
"NEDD4","PRRG3"
"LRP3","NEDD4"
"LAMP1","SLC48A1"
"MLXIP","RIT1"
"MLXIP","YWHAH"
"NAA40","PRMT7"
"PRMT7","UBC"
"FBXL3","HSP90AA1"
"HSP90AA1","NLRC3"
"GTSF1","LRRK2"
"SH3KBP1","USP51"
"EML3","YWHAH"
"EML3","FBXW5"
"CPA6","UBB"
"NEDD4","SMO"
"LAMP1","TJAP1"
"ECE2","UBC"
"IFI44","MKI67"
"ISX","UBC"
"HSP90AA1","ISX"
"NAA40","ZNF667"
"TRIM59","UBC"
"UBE3A","ZNF366"
"RIMKLA","YWHAH"
"FAM163A","YWHAH"
